areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000001,Bolton,utla,2021-04-29,35_39,1,16,86.7
E08000001,Bolton,utla,2021-04-29,40_44,5,19,112.7
E08000001,Bolton,utla,2021-04-29,45_49,3,16,82.8
E08000001,Bolton,utla,2021-04-29,50_54,4,13,64.8
E08000001,Bolton,utla,2021-04-29,55_59,1,8,43.8
E08000001,Bolton,utla,2021-04-29,60_64,0,5,32.8
E08000001,Bolton,utla,2021-04-29,65_69,0,1,7.2
E08000001,Bolton,utla,2021-04-29,70_74,2,3,21.6
E08000001,Bolton,utla,2021-04-29,75_79,0,3,31.2
E08000001,Bolton,utla,2021-04-29,80_84,0,2,29.8
E08000001,Bolton,utla,2021-04-29,85_89,0,1,26.8
E08000001,Bolton,utla,2021-04-29,90+,0,0,0.0
E08000001,Bolton,utla,2021-04-29,unassigned,0,0,
E08000001,Bolton,utla,2021-04-29,60+,2,15,23.1
E08000001,Bolton,utla,2021-04-29,00_59,34,184,82.7
E08000001,Bolton,utla,2021-04-28,00_04,0,2,10.4
E08000001,Bolton,utla,2021-04-28,05_09,1,10,49.5
E08000001,Bolton,utla,2021-04-28,10_14,3,12,63.9
E08000001,Bolton,utla,2021-04-28,15_19,3,25,150.7
E08000001,Bolton,utla,2021-04-28,20_24,5,19,114.6
E08000001,Bolton,utla,2021-04-28,25_29,3,16,86.1
E08000001,Bolton,utla,2021-04-28,30_34,2,17,86.5
E08000001,Bolton,utla,2021-04-28,35_39,4,15,81.3
E08000001,Bolton,utla,2021-04-28,40_44,4,14,83.1
E08000001,Bolton,utla,2021-04-28,45_49,3,13,67.3
E08000001,Bolton,utla,2021-04-28,50_54,1,10,49.9
E08000001,Bolton,utla,2021-04-28,55_59,3,7,38.3
E08000001,Bolton,utla,2021-04-28,60_64,0,7,45.9
E08000001,Bolton,utla,2021-04-28,65_69,0,2,14.4
E08000001,Bolton,utla,2021-04-28,70_74,0,1,7.2
E08000001,Bolton,utla,2021-04-28,75_79,0,3,31.2
E08000001,Bolton,utla,2021-04-28,80_84,0,4,59.6
E08000001,Bolton,utla,2021-04-28,85_89,0,1,26.8
E08000001,Bolton,utla,2021-04-28,90+,0,0,0.0
E08000001,Bolton,utla,2021-04-28,unassigned,0,0,
E08000001,Bolton,utla,2021-04-28,60+,0,18,27.7
E08000001,Bolton,utla,2021-04-28,00_59,32,160,71.9
E08000001,Bolton,utla,2021-04-27,00_04,1,2,10.4
E08000001,Bolton,utla,2021-04-27,05_09,3,9,44.6
E08000001,Bolton,utla,2021-04-27,10_14,3,13,69.2
E08000001,Bolton,utla,2021-04-27,15_19,6,24,144.7
E08000001,Bolton,utla,2021-04-27,20_24,2,16,96.5
E08000001,Bolton,utla,2021-04-27,25_29,3,16,86.1
E08000001,Bolton,utla,2021-04-27,30_34,3,15,76.3
E08000001,Bolton,utla,2021-04-27,35_39,3,12,65.0
E08000001,Bolton,utla,2021-04-27,40_44,2,10,59.3
E08000001,Bolton,utla,2021-04-27,45_49,4,12,62.1
E08000001,Bolton,utla,2021-04-27,50_54,1,10,49.9
E08000001,Bolton,utla,2021-04-27,55_59,2,4,21.9
E08000001,Bolton,utla,2021-04-27,60_64,0,7,45.9
E08000001,Bolton,utla,2021-04-27,65_69,0,4,28.9
E08000001,Bolton,utla,2021-04-27,70_74,0,1,7.2
E08000001,Bolton,utla,2021-04-27,75_79,0,3,31.2
E08000001,Bolton,utla,2021-04-27,80_84,1,4,59.6
E08000001,Bolton,utla,2021-04-27,85_89,0,1,26.8
E08000001,Bolton,utla,2021-04-27,90+,0,0,0.0
E08000001,Bolton,utla,2021-04-27,unassigned,0,0,
E08000001,Bolton,utla,2021-04-27,60+,1,20,30.7
E08000001,Bolton,utla,2021-04-27,00_59,33,143,64.3
E08000001,Bolton,utla,2021-04-26,00_04,1,2,10.4
E08000001,Bolton,utla,2021-04-26,05_09,2,7,34.7
E08000001,Bolton,utla,2021-04-26,10_14,2,13,69.2
E08000001,Bolton,utla,2021-04-26,15_19,3,19,114.5
E08000001,Bolton,utla,2021-04-26,20_24,4,14,84.4
E08000001,Bolton,utla,2021-04-26,25_29,3,13,70.0
E08000001,Bolton,utla,2021-04-26,30_34,1,15,76.3
E08000001,Bolton,utla,2021-04-26,35_39,3,9,48.8
E08000001,Bolton,utla,2021-04-26,40_44,3,8,47.5
E08000001,Bolton,utla,2021-04-26,45_49,3,8,41.4
E08000001,Bolton,utla,2021-04-26,50_54,1,10,49.9
E08000001,Bolton,utla,2021-04-26,55_59,0,2,11.0
E08000001,Bolton,utla,2021-04-26,60_64,2,7,45.9
E08000001,Bolton,utla,2021-04-26,65_69,1,4,28.9
E08000001,Bolton,utla,2021-04-26,70_74,0,1,7.2
